CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
EZS,1526,EASY JET SWITZERLAND,2018-12-10T12:25:00,2018-12-10T12:25:00,D,GVA,GENEVA,ג'נבה,GENEVA,שוויץ,SWITZERLAND,1,,,ON TIME,בזמן
LY,542,EL AL ISRAEL AIRLINES,2018-12-10T12:30:00,2018-12-10T12:30:00,A,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
HY,302,UZBEKISTAN AIR,2018-12-10T12:35:00,2018-12-10T12:35:00,D,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,,,ON TIME,בזמן
HV,5802,TRANSAVIA,2018-12-10T12:45:00,2018-12-10T12:45:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
IZ,2822,ARKIA  ISRAELI  AIRLINES,2018-12-10T12:45:00,2018-12-10T12:45:00,A,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
TO,3300,TRANSAVIA FRANCE,2018-12-10T12:45:00,2018-12-10T12:45:00,A,ORY,PARIS-ORLY,פאריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
EZY,7933,EASYJET,2018-12-10T13:00:00,2018-12-10T13:00:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
HV,6531,TRANSAVIA,2018-12-10T13:00:00,2018-12-10T13:00:00,A,EIN,EINDHOVEN,איינדהובן,EINDHOVEN,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
UTA,737,U.T.A.,2018-12-10T13:00:00,2018-12-10T13:00:00,A,MRV,MINERALNYE VODY,מינראל וודי,MINERALNYE VODY,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
PS,775,UKRAINE INTL  AIR,2018-12-10T13:05:00,2018-12-10T13:05:00,A,KBP,KIEV KYIV-BORISPOL,קייב,KIEV,אוקראינה,UKRAINE,3,,,NOT FINAL,לא סופי
D8,5671,NORWEGIAN AIR SHUTTLE,2018-12-10T13:15:00,2018-12-10T13:15:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,ON TIME,בזמן
EZS,1192,EASY JET SWITZERLAND,2018-12-10T13:20:00,2018-12-10T13:20:00,D,BSL,BASEL,באזל,BASEL,שוויץ,SWITZERLAND,1,,,ON TIME,בזמן
SU,503,AEROFLOT RUSSIAN AIRLINES,2018-12-10T13:20:00,2018-12-10T13:20:00,D,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,ON TIME,בזמן
AM,7874,AERO MEXICO,2018-12-10T13:30:00,2018-12-10T13:30:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
FV,6627,ROSSIYA AIRLINES,2018-12-10T13:30:00,2018-12-10T13:30:00,A,LED,ST. PETERSBURG,סט.פטרסבורג,S.PETERSBURG,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
LY,006,EL AL ISRAEL AIRLINES,2018-12-10T13:30:00,2018-12-10T13:30:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,574,EL AL ISRAEL AIRLINES,2018-12-10T13:30:00,2018-12-10T13:30:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
